trace_id,t1,t2,t3,t4,t5,t6,t7,t8,t9,t10,t11,t12,t13,f1_cold_start,f2_cold_start
1-61d6cfad-443af47b915ea9f82e75fe65,2022-01-06 12:17:02.044000,2022-01-06 12:17:02.062000,2022-01-06 12:17:02.072049,2022-01-06 12:17:02.072615,2022-01-06 12:17:02.073561,2022-01-06 12:17:02.152419,2022-01-06 12:17:03.368000,2022-01-06 12:17:03.432684,2022-01-06 12:17:03.433585,2022-01-06 12:17:03.454575,2022-01-06 12:17:03.476834,2022-01-06 12:17:03.477749,2022-01-06 12:17:03.505986,0,0
1-61d6cf94-7b83e3193093f531ffd3d94c,2022-01-06 12:16:37.290000,2022-01-06 12:16:37.304000,2022-01-06 12:16:37.315960,2022-01-06 12:16:37.316632,2022-01-06 12:16:37.317574,2022-01-06 12:16:37.390536,2022-01-06 12:16:38.630000,2022-01-06 12:16:38.699475,2022-01-06 12:16:38.700371,2022-01-06 12:16:38.719182,2022-01-06 12:16:38.741033,2022-01-06 12:16:38.741987,2022-01-06 12:16:38.766641,0,0
1-61d6d075-b7964db5ceb0f12690eceb24,2022-01-06 12:20:21.855000,2022-01-06 12:20:21.876000,2022-01-06 12:20:21.888376,2022-01-06 12:20:21.888983,2022-01-06 12:20:21.889992,2022-01-06 12:20:21.990042,2022-01-06 12:20:23.363000,2022-01-06 12:20:23.439890,2022-01-06 12:20:23.440993,2022-01-06 12:20:23.460817,2022-01-06 12:20:23.507614,2022-01-06 12:20:23.508803,2022-01-06 12:20:23.542513,0,0
1-61d6cd33-57e15ae75841387c7c2b9093,2022-01-06 12:06:27.998000,2022-01-06 12:06:28.016000,2022-01-06 12:06:28.027340,2022-01-06 12:06:28.027852,2022-01-06 12:06:28.028836,2022-01-06 12:06:28.103077,2022-01-06 12:06:29.194000,2022-01-06 12:06:29.254251,2022-01-06 12:06:29.255446,2022-01-06 12:06:29.274364,2022-01-06 12:06:29.298575,2022-01-06 12:06:29.299637,2022-01-06 12:06:29.362470,0,0
1-61d6cbdf-125c6e7002728920e39df712,2022-01-06 12:00:48.397000,2022-01-06 12:00:48.412000,2022-01-06 12:00:48.447994,2022-01-06 12:00:48.451893,2022-01-06 12:00:48.458282,2022-01-06 12:00:48.545140,2022-01-06 12:00:49.521000,2022-01-06 12:00:49.607753,2022-01-06 12:00:49.613309,2022-01-06 12:00:49.637883,2022-01-06 12:00:49.736281,2022-01-06 12:00:49.738461,2022-01-06 12:00:49.778122,0,0
1-61d6ce9b-9286cd3d18eabdc610ebff12,2022-01-06 12:12:27.583000,2022-01-06 12:12:27.602000,2022-01-06 12:12:27.613519,2022-01-06 12:12:27.614072,2022-01-06 12:12:27.615056,2022-01-06 12:12:27.799256,2022-01-06 12:12:28.881000,2022-01-06 12:12:28.951148,2022-01-06 12:12:28.952147,2022-01-06 12:12:28.991108,2022-01-06 12:12:29.013712,2022-01-06 12:12:29.014684,2022-01-06 12:12:29.057974,0,0
1-61d6cf7b-5eda3aba77c328f86f08d22a,2022-01-06 12:16:12.320000,2022-01-06 12:16:12.336000,2022-01-06 12:16:12.347483,2022-01-06 12:16:12.348057,2022-01-06 12:16:12.349066,2022-01-06 12:16:12.532134,2022-01-06 12:16:14.188000,2022-01-06 12:16:14.252798,2022-01-06 12:16:14.253825,2022-01-06 12:16:14.275399,2022-01-06 12:16:14.297009,2022-01-06 12:16:14.297938,2022-01-06 12:16:14.324718,0,0
1-61d6ce6e-98ff1059118969902b67d3d4,2022-01-06 12:11:42.627000,2022-01-06 12:11:42.643000,2022-01-06 12:11:42.654647,2022-01-06 12:11:42.655181,2022-01-06 12:11:42.656146,2022-01-06 12:11:42.844226,2022-01-06 12:11:44.181000,2022-01-06 12:11:44.269256,2022-01-06 12:11:44.270213,2022-01-06 12:11:44.291257,2022-01-06 12:11:44.315586,2022-01-06 12:11:44.316592,2022-01-06 12:11:44.376900,0,0
1-61d6cd24-152e44fafae58ee6fd336ae9,2022-01-06 12:06:12.795000,2022-01-06 12:06:12.816000,2022-01-06 12:06:12.827693,2022-01-06 12:06:12.828295,2022-01-06 12:06:12.829281,2022-01-06 12:06:12.906528,2022-01-06 12:06:13.459000,2022-01-06 12:06:13.587232,2022-01-06 12:06:13.588186,2022-01-06 12:06:13.604518,2022-01-06 12:06:13.629204,2022-01-06 12:06:13.630231,2022-01-06 12:06:13.670976,0,0
1-61d6cf3a-5411c7d882a9bdb4ea73659e,2022-01-06 12:15:07.404000,2022-01-06 12:15:07.413000,2022-01-06 12:15:07.421550,2022-01-06 12:15:07.422213,2022-01-06 12:15:07.423333,2022-01-06 12:15:07.489817,2022-01-06 12:15:08.498000,2022-01-06 12:15:08.565255,2022-01-06 12:15:08.566256,2022-01-06 12:15:08.583783,2022-01-06 12:15:08.606906,2022-01-06 12:15:08.607944,2022-01-06 12:15:08.635018,0,0
